PinName,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15
PF3,,,TIMER19_CH3,,I2C2_SCL,,,,,,,,EXMC_A3(4),,,EVENTOUT
PF4,,,CMP0_OUT,TIMER19_MCH0,I2C2_SDA,,HPDF_DATAIN2,,,,,,EXMC_A4(4),TRIGSEL_OUT1,,EVENTOUT
PF5,,,TIMER19_MCH1,,,,HPDF_CKIN2,,,,,,EXMC_A5(4),TRIGSEL_OUT5,,EVENTOUT
PF6,,TIMER4_ETI,TIMER3_CH3,,I2C1_SCL,,TIMER4_CH0,USART2_RTS/USART2_DE,,,QSPI_IO3(8),,,,,EVENTOUT
PF7,,,TIMER19_BRKIN0,,,,TIMER4_CH1,,,,QSPI_IO2(8),,EXMC_A1(4),,,EVENTOUT
PF8,,,TIMER19_BRKIN2,,,,TIMER4_CH1,,,,QSPI_IO0(8),,EXMC_A24(4),,,EVENTOUT
PF9,,,TIMER19_BRKIN0,TIMER14_CH0,,SPI1_SCK,TIMER4_CH3,,,,QSPI_IO1(8),,EXMC_A25(2),,,EVENTOUT
PF10,,,TIMER19_BRKIN2,TIMER14_CH1,,SPI1_SCK,,,,,QSPI_SCK(8),,EXMC_A0(2),,USART0_RTS/USART0_DE,EVENTOUT
PF11,,,TIMER19_ETI,,,,,,,,,,EXMC_NE3(4),,,EVENTOUT
PF12,,,TIMER19_CH0,,,,,,,,,,EXMC_A6(4),,,EVENTOUT
PF13,,,TIMER19_CH1,HPDF_DATAIN6,I2C3_SMBA,,,,,,,,EXMC_A7(4),,,EVENTOUT
PF14,,,TIMER19_CH2,HPDF_CKIN6,I2C3_SCL,,,,,,,,EXMC_A8(4),,,EVENTOUT
PF15,,,TIMER19_CH3,,I2C3_SDA,,,,,,,,EXMC_A9(4),,,EVENTOUT
PG0,,,TIMER19_MCH0,,,,,,,,,,EXMC_A10(4),,,EVENTOUT
PG1,,,TIMER19_MCH1,,,,,,,,,,EXMC_A11(4),,,EVENTOUT
PG2,,TIMER0_BRKIN1,TIMER19_MCH2,,,SPI0_SCK,,,,,,,EXMC_A12(4),,,EVENTOUT
PG3,,,TIMER19_BRKIN0,,I2C3_SCL,SPI0_MISO,TIMER19_MCH3,,,,,,EXMC_A13(4),,,EVENTOUT
PG4,,,TIMER19_BRKIN2,TIMER7_BRKIN1,I2C3_SDA,SPI0_MOSI,,,,,,,EXMC_A14(4),,,EVENTOUT
PG5,,,TIMER19_ETI,,,SPI0_NSS,,,,,,,EXMC_A15(4),,,EVENTOUT
PG6,,,TIMER19_BRKIN0,,I2C2_SMBA,,,,,,,,,,,EVENTOUT
PG7,,,TIMER19_BRKIN1,,I2C2_SCL,,,,,,,,,,,EVENTOUT
PG8,,,,,I2C2_SDA,,,,,,,,EXMC_NE2(4),,,EVENTOUT
PG9,,,,TIMER7_BRKIN1,,,SPI2_SCK,USART0_TX,,,,,EXMC_NE1(4),,TIMER14_MCH0,EVENTOUT
