BallName,PinName,PinType,Alternate,Remap
K13,PG5,gpio,EXMC_A15/EVENTOUT,
K14,PG4,gpio,EXMC_A14/EVENTOUT,
K15,PG3,gpio,EXMC_A13/EVENTOUT,
L1,PF10,gpio,EXMC_INTR/DCI_D11/TLI_DE/EVENTOUT/ADC2_IN8,
L2,PF9,gpio,SPI4_MOSI/TIMER13_CH0/EXMC_CD/EVENTOUT/ADC2_IN7,
L3,PF8,gpio,SPI4_MISO/TIMER12_CH0/EXMC_NIOWR/EVENTOUT/ADC2_IN6,
L4,NC,nc,,
L12,PH11,gpio,TIMER4_CH1/EXMC_D19/DCI_D2/TLI_R5/EVENTOUT,
L13,PH10,gpio,TIMER4_CH0/EXMC_D18/DCI_D1/TLI_R4/EVENTOUT/I2C2_TXFRAME,
L14,PD15,gpio,TIMER3_CH3/EXMC_D1/EVENTOUT/CTC_SYNC,
L15,PG2,gpio,EXMC_A12/EVENTOUT,
M1,VSSA,ground,,
M2,PC0,gpio,USBHS_ULPI_STP/EXMC_SDNWE/EVENTOUT,
M3,PC1,gpio,ADC012_IN10/SPI2_MOSI/I2S2_SD/SPI1_MOSI/I2S1_SD/ENET_MDC/EVENTOUT/ADC012_IN11,
M4,PC2,gpio,SPI1_MISO/I2S1_ADD_SD/USBHS_ULPI_DIR/ENET_MII_TXD2/EXMC_SDNE0/EVENTOUT/ADC012_IN12,
M5,PC3,gpio,SPI1_MOSI/I2S1_SD/USBHS_ULPI_NXT/ENET_MII_TX_CLK/EXMC_SDCKE0/EVENTOUT/ADC012_IN13,
M6,PB2,gpio,,
M7,PG1,gpio,EXMC_A11/EVENTOUT,
M8,VSS,ground,,
M9,VSS,ground,,
M10,NC,nc,,
M11,PH6,gpio,I2C1_SMBA/SPI4_SCK/TIMER11_CH0/ENET_MII_RXD2/EXMC_SDNE1/DCI_D8/EVENTOUT,
M12,PH8,gpio,I2C2_SDA/EXMC_D16/DCI_HSYNC/TLI_R2/EVENTOUT,
