PadNumber,PinName,PinType,Alternate,Remap
67,PE14,gpio,TIMER0_CH3/SPI3_MOSI/SAI1_MCLK1/EXMC_D11/TLI_PIXCLK/EVENTOUT,
68,PE15,gpio,TIMER0_BRKIN0/TLI_HSYNC/EXMC_D12/CMP_MUX_OUT4/TLI_R7/EVENTOUT,
69,PB10,gpio,TIMER1_CH2/I2C1_SCL/SPI1_SCK/I2S1_CK/HPDF_DATAIN7/USART2_TX/OSPIM_P0_CSN/USBHS0_ULPI_D3/TRIGSEL_OUT2/TLI_G4/EVENTOUT,
70,PB11,gpio,TIMER1_CH3/I2C1_SDA/HPDF_CKIN7/USART2_RX/USBHS0_ULPI_D4/ETH0_RMII_TX_EN/TLI_G5/EVENTOUT,
71,VCORE,power,,
72,VDD,power,,
73,PB12,gpio,TIMER0_BRKIN0/I2C1_SMBA/SPI1_NSS/I2S1_WS/HPDF_DATAIN1/USART2_CK/CAN1_RX/USBHS0_ULPI_D5/ETH0_RMII_TXD0/OSPIM_P0_IO0/CMP_MUX_OUT2/UART4_RX/EVENTOUT,
74,PB13,gpio,RTC_REFIN/TIMER0_MCH0/OSPIM_P0_IO2/SPI1_SCK/I2S1_CK/HPDF_CKIN1/USART2_CTS/CAN1_TX/USBHS0_ULPI_D6/ETH0_RMII_TXD1/SDIO0_D0/DCI_D2/UART4_TX/EVENTOUT,
75,PB14,gpio,TIMER0_MCH1/TIMER7_MCH1/USART0_TX/SPI1_MISO/HPDF_DATAIN2/USART2_RTS/USART2_DE/UART3_RTS/UART3_DE/SDIO1_D0/EXMC_D10/TRIGSEL_OUT1/TLI_PIXCLK/EVENTOUT,
76,PB15,gpio,RTC_REFIN/TIMER0_MCH2/TIMER7_MCH2/USART0_RX/SPI1_MOSI/I2S1_SD/HPDF_CKIN2/UART3_CTS/SDIO1_D1/EXMC_D11/TRIGSEL_OUT5/TLI_G7/EVENTOUT,
77,PD8,gpio,HPDF_CKIN3/USART2_TX/SAI1_CLK0/RSPDIF_CH1/EXMC_D13/EVENTOUT,
78,PD9,gpio,HPDF_DATAIN3/USART2_RX/SAI1_CLK1/EXMC_D14/EVENTOUT,
79,PD10,gpio,HPDF_CKOUT/USART2_CK/SAI1_DAT1/EXMC_D15/TLI_B3/EVENTOUT,
80,PD11,gpio,TIMER40_CH1/TIMER7_MCH3/I2C3_SMBA/USART2_CTS/SAI1_DAT2/OSPIM_P0_IO0/SAI1_SD0/EXMC_A16/EXMC_CLE/EVENTOUT,
81,PD12,gpio,TIMER41_CH1/TIMER3_CH0/I2C3_SCL/CAN2_RX/EDOUT_A/USART2_RTS/USART2_DE/OSPIM_P0_IO1/SAI1_FS0/EXMC_A17/EXMC_ALE/DCI_D12/EVENTOUT,
82,PD13,gpio,TIMER42_CH1/TIMER3_CH1/I2C3_SDA/CAN2_TX/EDOUT_B/OSPIM_P0_IO3/SAI1_SCK0/EXMC_A18/DCI_D13/EVENTOUT,
83,VSS,ground,,
84,VDD,power,,
85,PD14,gpio,,
86,PD15,gpio,TIMER43_CH1/TIMER3_CH2/SPI3_IO2/EDOUT_Z/UART7_CTS/EXMC_D0/EVENTOUT/TIMER44_CH1/TIMER3_CH3/SPI3_IO3/UART7_RTS/UART7_DE/EXMC_D1,
87,PG2,gpio,TIMER0_BRKIN1/TIMER7_BRKIN0/TIMER31_CH2/SPI1_MISO/CMP_MUX_OUT5/EXMC_A12/TIMER23_ETI/EVENTOUT,
88,PG3,gpio,TIMER7_BRKIN2/TIMER31_CH3/SPI1_MOSI/I2S1_SD/CMP_MUX_OUT6/EXMC_A13/TIMER22_ETI/EVENTOUT,
89,PG4,gpio,TIMER0_BRKIN2/TIMER7_BRKIN1/TIMER31_ETI/CMP_MUX_OUT7/EXMC_A14/EVENTOUT,
90,PG5,gpio,TIMER0_ETI/TIMER30_CH0/EXMC_A15/EVENTOUT,
91,PG6,gpio,TIMER16_BRKIN0/TIMER30_CH1/OSPIM_P0_CSN/EXMC_NE2/DCI_D12/TLI_R7/EVENTOUT,
92,PG7,gpio,EXMC_D28/TIMER30_CH2/SAI0_MCLK0/USART5_CK/EXMC_INT/DCI_D13/TLI_PIXCLK/EVENTOUT,
